# vs_cfr 2960003-dirty seed=1 samples=128 throttle_ms=500 shim=/home/jdh8/.dotnet/dotnet /home/jdh8/src/hearts-engine/tournament/CfrShim/bin/Release/net10.0/CfrShim.dll
pair,seating,direction,deal_seed,cfr_seats,north,east,south,west,shooter,shooter_side,mc_attempts,mc_passes,passes_nesw,plays_by_trick,cfr_payoff
21,1,right,18054082321272548792,NS,13,13,0,0,,,1,0,TCJCKS/ACJDKH/9CQHAS/7H8SQS,E2CSQDW4CNAC/NADEASS7DWTD/NJDEQHS5DW9D/N9HE3HS6HWKS/NJHE2HS7HW4S/NAHE8CS5HW5C/NKHEQCSTHWKC/N4HETSS3DWJC/N8HE9CS8SWTC/NKDE7SS8DW6D/NJSE6SS9SW7C/N2SE5SS3SW6C/E3CSQSW4DN2D,-0.000000
22,0,across,11008053066886195663,EW,4,4,17,1,,,0,0,9HQHKS/2C5C7H/ACKDKH/7CTCJC,W2CN8CEJCSKS/E7CSQHW6CN4C/E4HS5HW3HNKH/NKDE7DSJDWTD/N4DEQDS8DW9D/ETCS6DW5CNQC/N8SE7SS6SWKC/N2SEASSJSWJH/E5DSTHW3DN8H/E2DS9HWADNAC/W2HN9CEQSS6H/S9SW7HN4SE3S/STSWAHN3CE5S,5.333333
22,1,across,11008053066886195663,NS,1,0,0,25,,,0,1,8H9HQH/2C5CQS/ACJDKD/3D2H3H,W2CN9CEASS8D/N8SE7SS9SWQS/WKCN8CEQDS6S/WADNJDE7DS6D/W9DN4DE5DSTS/WTDNKDE3DSQH/N4CE5SSKHWJC/WJHNQCE7HS8H/WAHNACE4HS6H/W5CN3CE3HSJS/W6CNKSE2HS9H/W7CN4SE3SSTH/WTCN2SE2DS5H,8.000000
23,0,hold,3962023812499842530,EW,15,9,0,2,,,0,0,///,S2CWACNKCE8C/W4SN6SE5SS9S/S3SWQHN8SEKS/E7SSTSWAHNAS/NTCE7CS5CW9C/N3DEADSKDW9D/E2SSJSW9HNQS/N2HETHS8HW4H/E3CSQDW6CN4C/W7DNKHETDS5D/E2DSJHWJDN6H/W4DNQCE8DS5H/E7HS3HW6DNJC,1.333333
23,1,hold,3962023812499842530,NS,15,6,1,4,,,0,0,///,S2CWACNKCE8C/W4SN6SE5SSJS/STSWAHNASEKS/NQCE7CS5CW9C/NTCE3CSQDW6C/N3DETDSKDWJD/S9SWQHN8SE7S/S3SW9HNQSE2S/N2HE7HS5HW4H/E8DS5DW7DNKH/EADSJHW9DNJC/E2DS8HW4DN6H/W6DN4CETHS3H,-2.000000
24,0,left,15362738631823041017,EW,26,26,26,0,W,cfr,0,0,9CQC7H/AC8HTH/KDADQS/3C5D9D,S2CW3DN3CEJC/E9SS4SW3SNTS/N5SE2SSACWJS/WADN9DEJDSKH/WQHN6CE7HSTH/WJHNASETDS8H/WKDN7DEQDS4H/W5HNKSEQCS3H/WAHN8SE9CS2H/WQSN7SE5CSTC/W6HN6SEKCS8C/W9HN6DE4DS7C/W2DN5DE8DS4C,8.666667
24,1,left,15362738631823041017,NS,0,26,26,26,N,cfr,0,0,6D7D7H/KCACJD/KDADQS/QHAHJS,S2CW3CN6CEJC/E2SS4SW3SN8S/NQCE5CSTCWQS/NJSE9SSJDWAD/N6SEQDS7CWKD/NTSETDS8CW9D/N7SE8DSKCW5D/N5SE7DS3HW3D/N9CE6DS4CW2D/NQHETHS4HWJH/NAHE8HS2HW9H/NASE4DSKHW6H/NKSE7HSACW5H,8.666667
25,0,right,8316709377436687884,EW,4,7,15,0,,,0,0,JCQCJD/6CTCQS/KCKDKS/2C9CAC,S2CWJCNTCEKC/E6SSTSW7SNJS/N4DEKDSTDWAD/WQCN6CE4CSAC/S7DW5DNQSE6D/S5CWASN3CEAH/S7CW7HN9SE8S/SQHW3HNKHE2H/N3SE4SS9HW2S/E3DS5HW2DNJH/E9DS4HW8DNTH/EQDS9CWJDN6H/EKSS8CW8HN5S,4.000000
25,1,right,8316709377436687884,NS,23,0,3,0,,,0,0,JCJDTH/QDAHQS/TDKDKS/ACADAS,W2CNQCETCSKC/SADWJDNQDEKD/S7DW5DN4DE6D/S5CW9CN3CE6C/W7SN9SEKSSAS/STSW2SNJSE8S/NQSE6SS7CWJC/N5SE4SS8CW8D/N3SETDSACW2D/NJHE2HS9HWTH/NAHE9DS4HW8H/NKHE4CS5HW7H/N6HE3DSQHW3H,-8.666667
26,0,across,1270680123050334755,EW,26,26,26,0,W,cfr,0,0,TC9HQS/9CKCQH/8CQCTH/4C5C8H,S2CW9CNQCE4C/N8SE9SS7SWAS/WJCN8CE5CSTC/WACN3CE6SS7C/WADNQDEJDS3D/WKDNTDE5DS2D/WKCN9DE6HS6C/WQHNTHE8HS9H/WJHN7HE3HS4H/WAHNKSE5SSTS/WKHNJSE4DS4S/W5HN6DE7DS2S/W2HN3SE8DSQS,8.666667
